Title,Author,Link,Date
How To Fight Climate Change Using AI,Rob Toews,https://www.forbes.com/sites/markminevich/2022/07/08/how-to-fight-climate-change-using-ai/,2022-07-08
"Manufacturing, Artificial Intelligence, And Augmented Reality: Integration Advances",Lance Eliot,https://www.forbes.com/sites/davidteich/2022/07/07/manufacturing-artificial-intelligence-and-augmented-reality-integration-advances/,2022-07-07
ACM 75 Years No 1 Computer Science - Interview 2022 New President Yannis Ioannidis,Stephen Ibaraki,https://www.forbes.com/sites/stephenibaraki/2022/07/07/acm-75-years-no-1-computer-scienceinterview-2022-new-president-yannis-ioannidis/,2022-07-07
AI At The Forefront Of Media And Entertainment,Naveen Joshi,https://www.forbes.com/sites/aparnadhinakaran/2022/07/07/ai-at-the-forefront-of-media-and-entertainment/,2022-07-07
AI Ethics Struggles With That Pervasive AI Optimization Mindset When It Comes To Devilishly Underplaying Or Outright Skirting Around Ethical AI Precepts Amidst Autonomous Systems,John Koetsier,https://www.forbes.com/sites/lanceeliot/2022/07/07/ai-ethics-struggles-with-that-pervasive-ai-optimization-mindset-when-it-comes-to-devilishly-underplaying-or-outright-skirting-around-ethical-ai-precepts-amidst-autonomous-systems/,2022-07-07
The New Youngest Self-Made Billionaire In The World Is A 25-Year-Old College Dropout,Kevin Krewell,https://www.forbes.com/video/6307266084112/,2022-07-05
AI Ethics Perturbed By Latest China Devised AI Party-Loyalty Mind-Reading Facial Recognition Attestation That Might Foreshadow Oppressive Autonomous Systems,Chuck Brooks,https://www.forbes.com/sites/lanceeliot/2022/07/05/ai-ethics-perturbed-by-latest-china-devised-ai-party-loyalty-mind-reading-facial-recognition-attestation-that-might-foreshadow-oppressive-autonomous-systems/,2022-07-05
Is Web 3.0 A Data Revolution?,John Koetsier,https://www.forbes.com/sites/danielaraya/2022/07/05/is-web-30-a-data-revolution/,2022-07-05
Can AI Predict If Your House Is Going To Burn To The Ground?,Alan Ohnsman,https://www.forbes.com/sites/cyrusfarivar/2022/07/05/can-ai-predict-if-your-house-is-going-to-burn-to-the-ground/,2022-07-05
Microsoft Is Scrapping Some Bad A.I. Facial Recognition Tools,Lance Eliot,https://www.forbes.com/sites/korihale/2022/07/05/microsoft-is-scrapping-some-bad-ai-facial-recognition-tools/,2022-07-05
"AI Ethics Starkly Questioning Human Voice Cloning Such As Those Of Your Deceased Relatives, Intended For Use In AI Autonomous Systems",Naveen Joshi,https://www.forbes.com/sites/lanceeliot/2022/07/02/ai-ethics-starkly-questioning-human-voice-cloning-such-as-those-of-your-deceased-relatives-intended-for-use-in-ai-autonomous-systems/,2022-07-02
Seeing Beyond A Dangerous Decade,Jim McGregor,https://www.forbes.com/sites/traceyfollows/2022/07/01/seeing-beyond-a-dangerous-decade/,2022-07-01
"NVIDIA Loses The AI Performance Crown, At Least For Now",Johan Moreno,https://www.forbes.com/sites/karlfreund/2022/06/30/nvidia-loses-the-ai-performance-crown-at-least-for-now/,2022-06-30
Turkey Builds A Hyperwar Capable Military,Johan Moreno,https://www.forbes.com/sites/amirhusain/2022/06/30/turkey-builds-a-hyperwar-capable-military/,2022-06-30
What’s Going Wrong With Talent Measurement And How To Hire At Scale Successfully,Cindy Gordon,https://www.forbes.com/sites/sanjoejose/2022/06/30/whats-going-wrong-with-talent-measurement-and-how-to-hire-at-scale-successfully/,2022-06-30
Here’s How AI Is Helping Make Babies By Revolutionizing IVF,Glenn Gow,https://www.forbes.com/sites/ganeskesari/2022/06/30/heres-how-ai-is-helping-make-babies-by-revolutionizing-ivf/,2022-06-30
You Assemble Your Own Analog Synthesizer With Moog’s New Mavis,Steven Leibson,https://www.forbes.com/sites/tiriasresearch/2022/06/29/you-assemble-your-own-analog-synthesizer-with-moogs-new-mavis/,2022-06-29
The Advent Of Longevity Technology - From A Movement Into An Industry,Lance Eliot,https://www.forbes.com/sites/alexzhavoronkov/2022/06/29/the-advent-of-longevity-technologyfrom-a-movement-into-an-industry/,2022-06-29
The AI Act: Three Things To Know About AI Regulation Worldwide,Alan Ohnsman,https://www.forbes.com/sites/nishatalagala/2022/06/29/the-ai-act-three-things-to-know-about-ai-regulation-worldwide/,2022-06-29
AI Ethics Skeptical About Establishing So-Called Red Flag AI Laws For Calling Out Biased Algorithms In Autonomous AI Systems,"Alex Zhavoronkov, PhD",https://www.forbes.com/sites/lanceeliot/2022/06/29/ai-ethics-skeptical-about-establishing-so-called-red-flag-ai-laws-for-calling-out-biased-algorithms-in-autonomous-ai-systems/,2022-06-29
A Week At The Most Secretive Conference On Aging,Mark Minevich,https://www.forbes.com/sites/alexzhavoronkov/2022/06/29/a-week-at-the-most-secretive-conference-on-aging/,2022-06-29
Arm Delivers New Mobile Cores,Jeremy Bogaisky,https://www.forbes.com/sites/tiriasresearch/2022/06/29/arms-delivers-new-mobile-cores/,2022-06-29
Intel Builds Eight-Channel Wavelength Division Multiplexed Laser Array On A Silicon Chip,Aparna Dhinakaran,https://www.forbes.com/sites/tiriasresearch/2022/06/28/intel-builds-eight-channel-wavelength-division-multiplexed-laser-array-on-a-silicon-chip/,2022-06-28
Generation Y And Z - Empowered Or Entitled?,Lance Eliot,https://www.forbes.com/sites/charlestowersclark/2022/06/27/generation-y-and-zempowered-or-entitled/,2022-06-27
Using Simulations Of Alleged Ethics Violations To Ardently And Legally Nail Those Biased AI Ethics Transgressors Amid Fully Autonomous Systems,Heather Wishart-Smith,https://www.forbes.com/sites/lanceeliot/2022/06/27/using-simulations-of-alleged-ethics-violations-to-ardently-and-legally-nail-those-biased-ai-ethics-transgressors-amid-fully-autonomous-systems/,2022-06-27
Cluelessly Clueless AI,Stephen Ibaraki,https://www.forbes.com/sites/arunshastri/2022/06/26/cluelessly-clueless-ai/,2022-06-26
AI-Powered Video Platform Salesroom Comes Out Of Stealth,Hessie Jones,https://www.forbes.com/sites/phoebeliu/2022/06/24/ai-powered-video-platform-salesroom-comes-out-of-stealth/,2022-06-24
The Art Of Processor Customization: Balancing Innovation With Risk,Aparna Dhinakaran,https://www.forbes.com/sites/tiriasresearch/2022/06/24/the-art-of-processor-customization-balancing-innovation-with-risk/,2022-06-24
C-Suite Secrets to Modernizing Your Data & AI Strategy,Lance Eliot,https://www.forbes.com/video/6308392797112/,2022-06-23
"Forget SFFD Being Upset At Cruise, The Future For Emergency Vehicles With Robocars & e-VTOL Is Super Positive",Brad Templeton,https://www.forbes.com/sites/bradtempleton/2022/06/23/forget-sffd-being-upset-at-cruise-the-future-for-emergency-vehicles-with-robocars--e-vtol-is-super-positive/,2022-06-23
The Next Generation Of IBM Quantum Computers,Hessie Jones,https://www.forbes.com/sites/tiriasresearch/2022/06/22/the-next-generation-of-ibm-quantum-computers/,2022-06-22
"AMD Xilinx Makes Machine Vision AI Development Quick, Easy And Affordable",Mark Minevich,https://www.forbes.com/sites/marcochiappetta/2022/06/22/amd-xilinx-makes-machine-vision-ai-development-quick-easy-and-affordable/,2022-06-22
MIT Media Lab Fluid Interfaces-Prof Maes Team 2022 Top Research Powering Humans,David A. Teich,https://www.forbes.com/sites/stephenibaraki/2022/06/22/mit-media-lab-fluid-interfaces-prof-maes-team-2022-top-research-powering-humans/,2022-06-22
Deploying Models In An Evolving Housing Market,Stephen Ibaraki,https://www.forbes.com/sites/aparnadhinakaran/2022/06/22/deploying-models-in-an-evolving-housing-market/,2022-06-22
"Amazon Shows Off Its Latest Warehouse Automation: Fully Autonomous Robots, High-Tech Scanners And More",Aparna Dhinakaran,https://www.forbes.com/sites/amyfeldman/2022/06/21/amazon-shows-off-its-latest-warehouse-automation-fully-autonomous-robots-high-tech-scanners-and-more/,2022-06-21
The CEO Rebooting AI,Lance Eliot,https://www.forbes.com/sites/deandebiase/2022/06/21/the-ceo-rebooting-ai/,2022-06-21
AI Ethics Leans Into Aristotle To Examine Whether Humans Might Opt To Enslave AI Amidst The Advent Of Fully Autonomous Systems,Lance Eliot,https://www.forbes.com/sites/lanceeliot/2022/06/21/ai-ethics-leans-into-aristotle-to-examine-whether-humans-might-opt-to-enslave-ai-amidst-the-advent-of-fully-autonomous-systems/,2022-06-21
Feds Release ADAS-Pilot Crash Data But Little Information Except That There Probably Isn’t A Problem,Daniel Araya,https://www.forbes.com/sites/bradtempleton/2022/06/21/feds-release-adas-pilot-crash-data-but-little-information-except-that-there-probably-isnt-a-problem/,2022-06-21
Taking Pride In Putting Their Best Face Forward After Violence,Cyrus Farivar,https://www.forbes.com/sites/heatherwishartsmith/2022/06/20/taking-pride-in-putting-their-best-face-forward-after-violence/,2022-06-20
Coatue Adds Atlassian CTO As New Partner Investing In AI,Kori Hale,https://www.forbes.com/sites/kenrickcai/2022/06/19/coatue-hires-coatue-cto-sri-viswanath-ai-partner/,2022-06-20
"Soniox Releases Ground Breaking Speaker AI Technology Beating Amazon, Microsoft, And Google At 5X Accuracy Improvement",Lance Eliot,https://www.forbes.com/sites/cindygordon/2022/06/20/soniox-releases-ground-breaking-speaker-ai-technology-beating-amazon-microsoft-and-google--at-5x-accuracy-improvement/,2022-06-20
"Samsung Ventures Eyes Israeli AI, It’s A NeuReality",Tracey Follows,https://www.forbes.com/sites/adrianbridgwater/2022/06/20/samsung-ventures-eyes-israeli-ai-its-a-neureality/,2022-06-20
Top 11 Purposeful Leaders-Women Positively And Inspiringly Impacting The World,Karl Freund,https://www.forbes.com/sites/stephenibaraki/2022/06/19/top-11-purposeful-leaders-women-positively-and-inspiringly-impacting-the-world/,2022-06-19
"AI Ethics Confronting The Insidious One-Like-Mind Of AI Algorithmic Monoculture, Including For Autonomous Self-Driving Cars",Amir Husain,https://www.forbes.com/sites/lanceeliot/2022/06/19/ai-ethics-confronting-the-insidious-one-like-mind-of-ai-algorithmic-monoculture-including-for-autonomous-self-driving-cars/,2022-06-19
The Metaverse And Web3 Creating Value In The Future Digital Economy,Sanjoe Jose,https://www.forbes.com/sites/markminevich/2022/06/17/the-metaverse-and-web3-creating-value-in-the-future-digital-economy/,2022-06-17
Jason Silva Continues To Play Mind Games: Welcome The Awe-Inspiring World Of Cyberdelia,Ganes Kesari,https://www.forbes.com/sites/javierhasse/2022/06/17/jason-silva-continues-to-play-mind-games-welcome-the-awe-inspiring-world-of-cyberdelia/,2022-06-17
$110 Million In New Funding For AI Helping Hospitals Address Acute Labor Shortage,Kevin Krewell,https://www.forbes.com/sites/gilpress/2022/06/16/110-million-in-new-funding-for-ai-helping-hospitals-address-acute-labor-shortage/,2022-06-16
"AI Ethics Shocking Revelation That Training AI To Be Toxic Or Biased Might Be Beneficial, Including For Those Autonomous Self-Driving Cars","Alex Zhavoronkov, PhD",https://www.forbes.com/sites/lanceeliot/2022/06/15/ai-ethics-shocking-revelation-that-training-ai-to-be-toxic-or-biased-might-be-beneficial-including-for-those-autonomous-self-driving-cars/,2022-06-15
"A Booming Market For AI Skills, With Salaries Topping $300,000",Nisha Talagala,https://www.forbes.com/sites/gilpress/2022/06/14/a-booming-market-for-ai-skills-with-salaries-topping-300000/,2022-06-14
What Are The Most In-Demand AI Skills?,Lance Eliot,https://www.forbes.com/sites/bernardmarr/2022/06/13/what-are-the-most-in-demand-ai-skills/,2022-06-13
Intel Reports Good Progress On Intel 4 Process Node At IEEE Symposium,"Alex Zhavoronkov, PhD",https://www.forbes.com/sites/tiriasresearch/2022/06/12/intel-reports-good-progress-on-intel-4-process-node-at-ieee-symposium/,2022-06-12
Synthetic Data Is About To Transform Artificial Intelligence,Kevin Krewell,https://www.forbes.com/sites/robtoews/2022/06/12/synthetic-data-is-about-to-transform-artificial-intelligence/,2022-06-12
"AI Ethics And The Generational Transition From Digital Natives To AI Natives Growing Up Amidst Pervasive AI, Including Ubiquitous Self-Driving Cars",Steven Leibson,https://www.forbes.com/sites/lanceeliot/2022/06/12/ai-ethics-and-the-generational-transition-from-digital-natives-to-ai-natives-growing-up-amidst-pervasive-ai-including-ubiquitous-self-driving-cars/,2022-06-12
What Even Is Web5?,Charles Towers-Clark,https://www.forbes.com/sites/traceyfollows/2022/06/11/what-even-is-web5/,2022-06-11
2022 Imagine Cup Junior AI For Good Winners - Top Outstanding Creativity,Lance Eliot,https://www.forbes.com/sites/stephenibaraki/2022/06/09/2022-imagine-cup-junior-ai-for-good-winnerstop-outstanding-creativity/,2022-06-09
"AI Ethics And Legal AI Are Flustered By Deceptive Pretenses Known As AI Ethics-Washing Which Are False Claims Of Adhering To Ethical AI, Including For Autonomous Self-Driving Cars",Arun Shastri,https://www.forbes.com/sites/lanceeliot/2022/06/09/ai-ethics-and-legal-ai-are-flustered-by-deceptive-pretenses-known-as-ai-ethics-washing-which-are-false-claims-of-adhering-to-ethical-ai-including-for-autonomous-self-driving-cars/,2022-06-09
Can Reinforcement Learning Help Fix The Mental Health Crisis?,Phoebe Liu,https://www.forbes.com/sites/aparnadhinakaran/2022/06/09/can-reinforcement-learning-help-fix-the-mental-health-crisis/,2022-06-09
Accelerating Growth Using AI: Blog Series 5/5,Jim McGregor,https://www.forbes.com/sites/cindygordon/2022/06/09/accelerating-growth-using-ai-blog-series-55/,2022-06-09
Eli Lilly And Parexel Talk About The ROI Of Practical AI,Brad Templeton,https://www.forbes.com/sites/gilpress/2022/06/09/eli-lilly-and-parexel-talk-about-the-roi-of-practical-ai/,2022-06-09
The Connected Cow: Optimizing Dairy Cow Health And Productivity With Technology,Kevin Krewell,https://www.forbes.com/sites/stevensavage/2022/06/09/the-connected-cow-optimizing-dairy-cow-health-and-productivity-with-technology/,2022-06-09
How Big Data Helps You Automate Compliance Management In Accounting,Marco Chiappetta,https://www.forbes.com/sites/naveenjoshi/2022/06/09/how-big-data-helps-you-automate-compliance-management-in-accounting/,2022-06-09
"AI Ethics Alarmed At The Rise In Underhanded Juicing Or Doping Of AI Machine Learning By Trusted Insiders, Including Autonomous Self-Driving Cars",Stephen Ibaraki,https://www.forbes.com/sites/lanceeliot/2022/06/07/ai-ethics-alarmed-at-the-rise-in-underhanded-juicing-or-doping-of-ai-machine-learning-by-trusted-insiders-including-autonomous-self-driving-cars/,2022-06-07
Can Viagra Extend Your Life?,Aparna Dhinakaran,https://www.forbes.com/sites/alexzhavoronkov/2022/06/07/can-viagra-extend-your-life/,2022-06-07
How And When Automation May Affect Long-Haul Trucking,Amy Feldman,https://www.forbes.com/sites/adigaskell/2022/06/07/how-and-when-automation-may-affect-long-haul-trucking/,2022-06-07
Cool Idea: Innovation In Response To Tragedy,Dean DeBiase,https://www.forbes.com/sites/heatherwishartsmith/2022/06/06/cool-idea-innovation-in-response-to-tragedy/,2022-06-06
When AI Attacks Earnings,Lance Eliot,https://www.forbes.com/sites/aparnadhinakaran/2022/06/06/when-ai-attacks-earnings/,2022-06-06
Biotech Firm Puts R2D2 To Work In Lab,Brad Templeton,https://www.forbes.com/sites/calumchace/2022/06/06/biotech-firm-puts-r2d2-to-work-in-lab/,2022-06-06
"As The Society Grows Older, Will Cognitive Robotics Become More Relevant Than Ever?",Heather Wishart-Smith,https://www.forbes.com/sites/naveenjoshi/2022/06/06/as-the-society-grows-older-will-cognitive-robotics-become-more-relevant-than-ever/,2022-06-06
A Weekend By Foresight Institute - A Community For Future Technologies,Kenrick Cai,https://www.forbes.com/sites/alexzhavoronkov/2022/06/05/a-weekend-by-foresight-institutea-community-for-future-technologies/,2022-06-05
"AI Ethics And The Perplexing Societal And Legal Role Of AI Activism, Including In The Case Of Autonomous Self-Driving Cars",Cindy Gordon,https://www.forbes.com/sites/lanceeliot/2022/06/04/ai-ethics-and-the-perplexing-societal-and-legal-role-of-ai-activism-including-in-the-case-of-autonomous-self-driving-cars/,2022-06-04
Alarming Cyber Statistics For Mid-Year 2022 That You Need To Know,Adrian Bridgwater,https://www.forbes.com/sites/chuckbrooks/2022/06/03/alarming-cyber-statistics-for-mid-year-2022-that-you-need-to-know/,2022-06-03
Intel Buys Codeplay To Beef Up OneAPI Developer Platform,Stephen Ibaraki,https://www.forbes.com/sites/tiriasresearch/2022/06/03/intel-buys-codeplay-to-beef-up-oneapi-developer-platform/,2022-06-03
California PUC Grants Cruise Permission To Charge For Robotaxi Rides In SF. Now What Will They Charge?,Lance Eliot,https://www.forbes.com/sites/bradtempleton/2022/06/02/california-puc-grants-cruise-permission-to-charge-for-robotaxi-rides-in-sf--now-what-will-they-charge/,2022-06-02
Do Robots Need A Story For Us To Trust Them?,Mark Minevich,https://www.forbes.com/sites/adigaskell/2022/06/02/do-robots-need-a-story-for-us-to-trust-them/,2022-06-02
How AR Helps Cops With Recapturing Fugitives,Javier Hasse,https://www.forbes.com/sites/naveenjoshi/2022/06/02/how-ar-helps-cops-with-recapturing-fugitives/,2022-06-02
"AI Ethics And Legal AI Experts Greatly Alarmed About Dual-Use AI Which Empowers So-Called Doctor Evil Projects, Including Possibly For AI Self-Driving Cars",Gil Press,https://www.forbes.com/sites/lanceeliot/2022/06/01/ai-ethics-and-legal-ai-experts-greatly-alarmed-about-dual-use-ai-which-empowers-so-called-doctor-evil-projects-including-possibly-for-ai-self-driving-cars/,2022-06-01
The Future Of Sales And The Pervasiveness Of Technology,Lance Eliot,https://www.forbes.com/sites/cindygordon/2022/06/01/the-future-of-sales-and-the-pervasiveness-of-technology/,2022-06-01
AI Ethics: What It Is And Why It Matters,Gil Press,https://www.forbes.com/sites/nishatalagala/2022/05/31/ai-ethics-what-it-is-and-why-it-matters/,2022-05-31
Nintendo Once Again Sent 500+ Copyright Blocks To Remove Soundtrack Music On YouTube,Bernard Marr,https://www.forbes.com/sites/johanmoreno/2022/05/31/nintendo-once-again-sent-500-copyright-blocks-to-remove-soundtrack-music-on-youtube/,2022-05-31
What Does It Take For Enterprises To Succeed In The Digital Age?,Steven Leibson,https://www.forbes.com/sites/markminevich/2022/05/31/what-does-it-take-for-enterprises-to-succeed-in-the-digital-age/,2022-05-31
How Healthcare Can Employ Robotics To Address Patient Immobility,Rob Toews,https://www.forbes.com/sites/naveenjoshi/2022/05/31/how-healthcare-can-employ-robotics-to-address-patient-immobility/,2022-05-31
3 Key Areas Where Nanotechnology Is Impacting Our Future,Lance Eliot,https://www.forbes.com/sites/chuckbrooks/2022/05/31/3-key-areas-where-nanotechnology-is-impacting-our-future/,2022-05-31
Scotiabank’s Perspectives On AI/ML Governance And Future,Tracey Follows,https://www.forbes.com/sites/cindygordon/2022/05/31/scotiabanks-perspectives-on-aiml--governance-and-future/,2022-05-31
Does Your Data & Analytics Strategy Have These 10 Crucial Elements?,Stephen Ibaraki,https://www.forbes.com/sites/ganeskesari/2022/05/31/does-your-data--analytics-strategy-have-these-10-crucial-elements/,2022-05-31
Short Social Video Showdown: TikTok Just Beat YouTube In This Key Metric,Lance Eliot,https://www.forbes.com/sites/johanmoreno/2022/05/31/short-social-video-showdown-tiktok-just-beat-youtube-in-this-key-metric/,2022-05-31
AI Can Overcome Human Weaknesses,Aparna Dhinakaran,https://www.forbes.com/sites/arunshastri/2022/05/30/ai-can-overcome-human-weaknesses/,2022-05-30
Recent Anecdotal Evidence Of Practical AI,Cindy Gordon,https://www.forbes.com/sites/gilpress/2022/05/30/recent-anecdotal-evidence-of-practical-ai/,2022-05-30
Operationalizing Advanced Analytics And AI At Scotiabank.,Gil Press,https://www.forbes.com/sites/cindygordon/2022/05/30/operationalizing-advanced-analytics-and-ai-at-scotibank/,2022-05-30
Human Vs. Artificial Intelligence: Why Finding The Right Balance Is Key To Success,Steven Savage,https://www.forbes.com/sites/bernardmarr/2022/05/30/human-vs-artificial-intelligence-why-finding-the-right-balance-is-key-to-success/,2022-05-30
Scotiabank’s AI And ML Solution Center Has Digital Literacy And Talent Front And Center,Naveen Joshi,https://www.forbes.com/sites/cindygordon/2022/05/29/scotiabanks-ai-and-ml-solution-center-has-digital-literacy-and-talent-front-and-center/,2022-05-29
